ID,age,gender,mean1,mean2,SD,D,total_trials,exclude_incomplete,fast_rt,average_accuracy,exclude_fast,exclude_accuracy,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,exclude_impossible,exclude_not_completed,mean_agreeableness,mean_openness,mean_extroversion,mean_neuroticism,mean_conscientiousness,exclude_participant
228671,18,female,1062.65,728.5875,698.9842125125122,-0.47792567274045583,120,include,0,0.8833333333333333,include,include,5,5,6,6,5,3,6,6,6,4,5,6,4,5,4,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.333333333333333,4.9,NA,NA,NA,include
232178,27,male,840.9,755.6625,242.99231106208714,-0.35078270430631386,120,include,0,0.95,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,2,5,2,2,4,3,2,NA,3,5,2,4,6,5,6,6,6,5,5,6,exclude,exclude,NA,NA,NA,5.625,3.3333333333333335,exclude
232474,30,male,725.575,713.1875,310.6709189608116,-0.03987338126605477,120,include,0,0.9333333333333333,include,include,4,6,5,4,5,3,6,2,3,6,5,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.222222222222222,5.9,NA,NA,NA,include
233978,44,male,830.225,718.6125,199.05845530258438,-0.560702130589431,120,include,0,0.975,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,3,6,6,5,5,3,4,2,5,4,3,5,3,6,2,2,4,2,1,4,2,3,include,include,NA,NA,4,2.5,5,include
235367,21,male,1221.675,1315.3,859.4798993629598,0.10893215777285095,120,include,0,0.9333333333333333,include,include,1,2,4,5,2,1,1,1,4,6,5,6,6,5,5,5,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,2.3333333333333335,5.2,NA,NA,NA,include
238241,51,female,1122.825,863.95,413.4277292646563,-0.6261674814615079,120,include,0,0.9666666666666667,include,include,5,5,6,5,6,2,5,1,6,5,4,6,4,5,4,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.555555555555555,4.6,NA,NA,NA,include
239346,20,female,798.625,773.45,292.59519734575946,-0.08604037328148856,120,include,0,0.9583333333333334,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,4,5,5,6,5,6,6,5,5,5,4,5,6,4,4,4,4,4,4,4,4,include,include,NA,NA,5.25,4,5.333333333333333,include
241587,41,female,1903.4,800.075,1961.403877478638,-0.5625180069585218,120,include,0,0.9583333333333334,include,include,5,5,2,4,6,2,5,3,5,6,3,6,6,6,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.111111111111111,5.1,NA,NA,NA,include
243747,23,female,740.65,703.4375,272.583469471521,-0.13651781625696807,120,include,0,0.9083333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,3,2,3,5,5,4,4,5,3,3,3,5,2,5,4,3,4,4,2,5,1,4,include,include,NA,NA,3.75,3.375,4,include
245717,24,male,824.25,785.05,281.77165149360604,-0.1391197439210437,120,include,0,0.9583333333333334,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,4,4,3,2,1,3,3,1,3,2,3,4,3,3,4,4,3,3,4,include,include,NA,NA,2.25,3.5,4.222222222222222,include
249730,37,female,1140.175,1047.6,692.9119033559208,-0.13360284265812072,120,include,0,0.875,include,include,3,4,3,4,4,6,4,3,6,2,1,4,1,3,1,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.111111111111111,2.4,NA,NA,NA,include
251939,28,male,766.625,783.675,391.9460924996833,0.0435008801625283,120,include,0,0.9416666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,3,4,4,6,3,4,3,4,5,3,3,1,4,3,3,4,4,1,4,3,4,include,include,NA,NA,3.375,3.25,4.111111111111111,include
253188,32,female,931.525,810.525,348.7410080364432,-0.3469623508897915,120,include,0,0.925,include,include,3,5,5,4,6,4,6,6,6,3,4,6,6,6,4,6,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5,4.9,NA,NA,NA,include
253519,22,male,732.825,769.3,347.49756775240536,0.10496476345408157,120,include,0,0.85,include,include,5,6,6,5,6,5,6,4,5,5,5,5,6,6,5,5,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.333333333333333,4.6,NA,NA,NA,include
254504,24,male,956.05,791.2625,461.6360437669072,-0.35696411106756143,120,include,0,0.9666666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,2,4,4,4,4,4,3,3,4,3,6,3,4,4,1,2,2,3,4,2,1,include,include,NA,NA,3.75,2.375,3.5555555555555554,include
285703,33,male,1671.775,1245.1375,817.5358615216519,-0.5218578414479752,120,include,0,0.9833333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,2,3,2,5,1,6,6,4,6,6,2,5,6,6,6,5,6,6,4,5,5,include,include,NA,NA,5.125,5.375,2.5555555555555554,include
287257,21,female,741.325,672.2875,281.8928695727623,-0.244906868714464,120,include,0,0.9166666666666666,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,6,4,5,5,5,6,4,5,5,5,5,3,5,4,3,5,5,3,4,2,4,include,include,NA,NA,4.75,3.75,5,include
289486,56,female,679.4,616.0625,237.12797177895314,-0.2671026092992613,120,include,0,0.975,include,include,5,6,6,6,6,6,6,6,6,4,5,5,4,5,4,5,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.888888888888889,4.4,NA,NA,NA,include
289105,32,male,1035.85,794.325,583.2235302819236,-0.41412080867733414,120,include,0,0.975,include,include,2,4,4,4,3,3,4,5,5,6,4,6,5,5,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.7777777777777777,5,NA,NA,NA,include
291619,22,female,836.125,745.725,387.1099402137911,-0.23352539061661481,120,include,0,0.9416666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,3,6,4,NA,4,3,6,2,4,5,3,4,3,5,1,3,3,6,3,2,1,6,exclude,exclude,NA,NA,4,3.125,NA,exclude
293517,21,female,1273.35,1145.7625,433.347520910818,-0.29442305273105995,120,include,0,0.9916666666666667,include,include,3,3,4,4,6,3,6,4,3,4,5,6,4,5,4,5,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4,4.5,NA,NA,NA,include
296088,49,male,878.275,808.675,260.2744370141355,-0.2674100491713677,120,include,0,0.95,include,include,6,5,4,6,6,3,6,6,5,5,3,6,4,1,5,4,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.222222222222222,4.2,NA,NA,NA,include
310835,30,male,1299.625,904.35,686.8732565169554,-0.5754700685311114,120,include,0,0.9333333333333333,include,include,2,3,3,3,2,3,3,2,4,3,4,6,4,3,5,1,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,2.7777777777777777,4.3,NA,NA,NA,include
310981,52,male,1775.3,1075.75,1006.9907056336185,-0.6946936015261722,120,include,0,0.9166666666666666,include,include,4,6,5,5,6,2,5,5,5,6,2,5,6,6,5,4,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.777777777777778,4.7,NA,NA,NA,include
311817,48,female,979.55,806.275,403.43610145248783,-0.42949800321825277,120,include,0,0.95,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,6,6,5,6,6,5,2,6,5,5,6,6,5,1,1,3,1,1,1,1,1,include,include,NA,NA,5,1.25,5.333333333333333,include
316021,34,male,691.125,654.9875,229.03215925277567,-0.1577835187770125,120,include,0,0.8333333333333334,include,include,3,6,6,6,5,1,5,2,4,6,1,6,6,5,6,2,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.222222222222222,4.5,NA,NA,NA,include
314655,19,female,891.025,714.175,349.3762403955672,-0.5061878271967456,120,include,0,0.975,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,2,5,3,5,5,3,6,2,4,1,2,5,4,2,4,3,4,include,include,NA,NA,4.125,3.125,5.444444444444445,include
329537,17,male,1112.225,845.9,735.7697182959791,-0.36196787306876493,120,include,0,0.9333333333333333,include,include,2,3,2,3,4,4,2,2,4,5,1,6,4,5,5,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,2.888888888888889,4.1,NA,NA,NA,include
337414,31,female,762.675,718.6375,262.910343005717,-0.16750006673964254,120,include,0,0.9583333333333334,include,include,3,4,3,5,5,2,4,3,4,3,3,5,2,4,1,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.6666666666666665,3.2,NA,NA,NA,include
339121,29,male,744.975,666.775,244.7093970520998,-0.31956271782791773,120,include,0,0.9333333333333333,include,include,3,6,4,6,6,6,5,6,6,5,1,6,4,5,6,3,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.333333333333333,4.6,NA,NA,NA,include
343954,21,female,979.025,897.8,373.40120947218975,-0.21752741539003911,120,include,0,1,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,6,6,5,4,6,5,4,5,2,6,6,6,4,5,2,1,2,4,1,2,include,include,NA,NA,5,2.625,5,include
347838,21,female,892.65,616.075,350.83841317173744,-0.7883258777157188,120,include,0,0.9416666666666667,include,include,2,5,3,4,3,3,3,2,4,5,2,6,4,6,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,exclude,3.2222222222222223,NA,NA,NA,NA,exclude
348671,26,male,813.875,734.0375,227.1570237641314,-0.3514639286826512,120,include,0,0.9333333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,3,3,4,2,2,2,2,3,2,2,2,3,4,5,4,4,4,4,3,5,include,include,NA,NA,2.25,4.125,2.888888888888889,include
354340,32,female,893.875,736.9,480.27183238577845,-0.32684615131438693,120,include,0,0.9583333333333334,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,5,4,4,5,5,4,3,4,3,3,4,5,4,2,3,2,2,2,2,3,3,include,include,NA,NA,3.75,2.375,4.444444444444445,include
357132,51,female,1426.325,1178.5625,396.14556042194494,-0.6254329841185189,120,include,0,0.9833333333333333,include,include,6,4,6,6,6,6,5,5,5,5,5,6,5,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.444444444444445,5.5,NA,NA,NA,include
368445,25,male,668.45,656.75,237.85687561496079,-0.04918924445530779,120,include,0.008333333333333333,0.9416666666666667,include,include,2,6,1,1,6,3,4,5,6,6,1,4,1,3,6,6,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,exclude,3.7777777777777777,NA,NA,NA,NA,exclude
361490,41,female,604.075,627.275,175.79093273207332,0.13197495251566554,120,include,0,0.9333333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,3,5,5,6,3,6,3,6,6,4,5,2,3,3,3,4,4,2,4,2,2,include,include,NA,NA,4.375,3,4.111111111111111,include
365480,21,female,833.375,721.15,369.66232139987585,-0.3035878787294704,120,include,0,0.95,include,include,6,6,6,6,6,5,6,2,6,5,4,6,5,6,5,6,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.444444444444445,5,NA,NA,NA,include
365691,32,female,717.275,667.175,248.31859998969134,-0.20175693646017603,120,include,0,0.9583333333333334,include,include,3,5,5,5,3,5,5,4,5,4,3,6,5,6,4,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.444444444444445,4.9,NA,NA,NA,include
365766,20,female,908.8,678.2,295.59641272465785,-0.7801177215732966,120,include,0,0.9083333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,3,5,3,4,2,4,3,5,5,3,4,2,4,2,3,4,4,1,1,2,3,include,include,NA,NA,3.75,2.5,3.3333333333333335,include
366258,25,male,1208.35,855.3,542.1814168666408,-0.6511658072686008,120,include,0,0.9416666666666667,include,include,5,5,6,5,6,3,6,6,6,6,2,6,6,5,5,5,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.333333333333333,4.9,NA,NA,NA,include
372836,26,female,1097.15,909.2,591.920768176214,-0.3175256049540191,120,include,0,0.9166666666666666,include,include,2,5,4,5,5,2,6,3,5,6,5,5,6,6,6,6,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.111111111111111,5.5,NA,NA,NA,include
388154,19,female,750.9,531.7,273.20410486148495,-0.8023305510403469,120,include,0,0.95,include,include,2,5,6,5,3,4,6,4,5,4,6,6,3,5,4,6,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.444444444444445,4.7,NA,NA,NA,include
491808,22,female,686.8,741.25,290.08843624028884,0.18770138067446956,120,include,0,0.925,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,6,5,2,3,5,3,2,2,3,3,2,2,4,3,2,4,4,4,include,include,NA,NA,2.875,3.125,5.444444444444445,include
418670,17,male,585.55,577.3375,147.3170229542426,-0.05574712165172399,120,include,0,0.95,include,include,4,4,5,5,5,2,4,3,4,5,4,6,5,5,5,5,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4,5,NA,NA,NA,include
394075,21,female,732.05,765.85,342.8331682210649,0.09859022735573014,120,include,0,0.975,include,include,3,5,6,5,3,6,5,6,6,5,5,6,6,6,5,6,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5,5.1,NA,NA,NA,include
401021,20,female,684,760.0125,318.4896648191879,0.23866551538855635,120,include,0,0.9583333333333334,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,2,6,6,4,5,4,3,3,5,3,2,3,4,5,6,5,6,2,4,4,4,include,include,NA,NA,3.375,4.5,4.333333333333333,include
419450,52,male,765.7,677.75,300.5025967346334,-0.29267633942500193,120,include,0,0.975,include,include,5,4,6,6,4,5,4,3,6,6,6,6,6,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.777777777777778,5.9,NA,NA,NA,include
421489,18,female,682.325,597.95,260.1475070420012,-0.3243352241172064,120,include,0,0.9333333333333333,include,include,2,5,5,3,5,3,4,3,5,6,6,6,4,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.888888888888889,5.7,NA,NA,NA,include
429123,43,female,4908.1,2793.9,3691.4607113923753,-0.5727272116090188,120,include,0,0.8083333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,6,5,6,5,2,4,3,3,5,2,5,4,5,4,2,5,4,2,4,2,6,include,include,NA,NA,3.875,3.625,5,include
429559,19,male,2148.25,1199.1875,1476.128384203983,-0.6429403500101324,120,include,0,0.9333333333333333,include,include,3,5,4,6,6,6,6,5,6,4,5,6,3,5,5,6,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.222222222222222,4.5,NA,NA,NA,include
433267,34,female,662.8,593.575,220.37068274869515,-0.3141298068170994,120,include,0,0.9166666666666666,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,4,2,5,5,5,1,2,4,2,1,3,2,1,2,3,4,2,1,2,2,4,include,include,NA,NA,2,2.5,4.111111111111111,include
435868,31,female,559.375,586.0375,170.40873503077802,0.15646204987780957,120,include,0.008333333333333333,0.9833333333333333,include,include,5,4,5,6,5,3,5,3,5,5,6,6,5,5,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.555555555555555,5.6,NA,NA,NA,include
442495,37,female,603.1,580.175,129.16031230416644,-0.1774926027277851,120,include,0,0.9416666666666667,include,include,5,6,5,6,5,4,6,4,5,4,4,5,5,5,4,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.111111111111111,4.3,NA,NA,NA,include
439554,37,male,700.425,648.55,329.0822735838484,-0.15763535189865682,120,include,0,0.9916666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,2,4,5,4,4,3,3,4,2,4,3,3,1,3,4,2,2,5,2,4,include,include,NA,NA,3.25,2.875,3.7777777777777777,include
440148,35,female,802.725,754.05,171.25988715861,-0.28421716729802804,120,include,0,0.975,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,4,6,5,4,4,4,3,3,5,4,3,4,3,3,2,3,4,1,2,1,2,1,include,include,NA,NA,3.5,2,4.555555555555555,include
446741,38,male,1224.9,1130.4875,482.6310140555529,-0.1956204579698495,120,include,0,0.9666666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,4,4,4,4,3,4,3,3,3,4,4,4,4,2,2,5,3,1,5,2,3,include,include,NA,NA,3.625,2.875,3.5555555555555554,include
585230,24,female,648.2,570.4125,142.39998677139334,-0.5462605844541182,120,include,0,0.95,include,include,4,5,4,4,5,5,4,3,4,4,4,5,4,6,4,5,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.222222222222222,4.4,NA,NA,NA,include
448449,60,female,783.525,830.75,350.79021229107246,0.13462462276688184,120,include,0,0.9666666666666667,include,include,5,4,6,5,6,5,5,5,6,5,1,6,6,4,5,4,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5.222222222222222,4.5,NA,NA,NA,include
